id,lon,lat
8220881,26.7189612,58.3725807
8220894,26.7258585,58.3763893
8220896,26.7276838,58.3772485
8220933,26.7301649,58.3785729
8220937,26.7303564,58.3790652
8220941,26.7305597,58.3797861
8220946,26.728413,58.3817654
8220974,26.7266399,58.3863879
8220975,26.7259576,58.3864751
8221115,26.7284865,58.3896279
8221471,26.6727749,58.4048694
8221474,26.6776163,58.4037906
10981047,26.6833752,58.3580484
10981049,26.680947,58.3563826
10981052,26.6830671,58.3571685
10981055,26.6837969,58.3564542
10981058,26.6844577,58.3560699
10981063,26.6850928,58.3556315
10981069,26.6808749,58.356322
10981159,26.6771713,58.3533032
10981167,26.6869829,58.3537803
10981240,26.6781098,58.3692943
10981243,26.6781399,58.3673552
10981246,26.6768079,58.3668482
10981250,26.6783457,58.3669784
10981252,26.6778009,58.3646793
10981290,26.6704673,58.3852575
10981297,26.674494,58.3804343
10981301,26.6749646,58.3794347
10981302,26.6748185,58.3790373
10981303,26.6761234,58.3789145
10981304,26.6764313,58.3779184
10981377,26.6688483,58.3871608
10981451,26.650173,58.4084216
11231108,26.6773347,58.3587282
11231113,26.677704,58.3590895
11231118,26.6773651,58.3591881
11231119,26.6781973,58.3597093
11231238,26.6912959,58.3503046
11231244,26.6926381,58.3492686
11231249,26.6950226,58.3475123
11231250,26.6711316,58.3493486
11231297,26.6785033,58.3671065
11231372,26.6759861,58.3794941
11231424,26.6597424,58.3428223
11231425,26.6649192,58.3456857
11231426,26.6675568,58.347152
11231831,26.6970645,58.3462091
11231832,26.697656,58.3459589
11231833,26.6989778,58.3454882
11231929,26.7125525,58.341411
11231934,26.7121214,58.3428429
11231981,26.716799,58.3224649
11268086,26.7250727,58.3805765
21608386,26.7474141,58.4068013
21608388,26.7490692,58.4070617
21608391,26.746513,58.4058383
21608393,26.7447832,58.4042896
21608395,26.7427799,58.4028303
21608396,26.7397561,58.4008895
21608398,26.738283,58.3997943
21608400,26.7366167,58.3980552
21608401,26.735592,58.3970002
21608405,26.7335627,58.3943935
21608406,26.7327172,58.3933976
21608410,26.7309209,58.391684
32261502,26.8834369,58.3678289
34821708,26.6555746,58.3613077
34821709,26.6479336,58.3598092
34821710,26.6419834,58.3591215
89000806,26.7042097,58.3751458
89000812,26.7176587,58.3637216
198941250,26.6910582,58.3617127
205103551,26.6891519,58.3537921
205103555,26.6857114,58.3551652
248163104,26.6796115,58.3579008
248163105,26.6797592,58.3578561
248163106,26.6797909,58.3578318
248163107,26.6794962,58.3574296
248163109,26.680579,58.357112
248163110,26.6808215,58.3571009
248163112,26.6810042,58.3567914
248163113,26.6807394,58.3565415
248163114,26.6806648,58.3564215
248163115,26.6806111,58.3562594
248163116,26.680241,58.356005
248163117,26.6800107,58.3557889
248163118,26.680106,58.3557551
248163124,26.6803839,58.357167
248163125,26.6796497,58.3674916
248163137,26.6847433,58.3535774
248163141,26.6874506,58.3538008
248163147,26.6881415,58.3537398
248418203,26.6979339,58.3496261
248418206,26.7033404,58.3522607
248424176,26.6977078,58.3757703
248424222,26.7036616,58.3683909
248424236,26.7058575,58.3684395
248424237,26.704803,58.368069
248424238,26.705082,58.367924
248424239,26.7051787,58.367775
248424243,26.7052621,58.367641
248424245,26.7051975,58.3675139
248424247,26.704887,58.367348
248424248,26.704544,58.367233
248424251,26.704245,58.367203
248424254,26.7041301,58.3671806
248427946,26.7036663,58.3663245
248427959,26.6965304,58.3752937
248429351,26.7069533,58.3676784
248509488,26.6972091,58.3515825
248509501,26.6946437,58.3629135
248509509,26.699287,58.362091
248509510,26.699974,58.36198
248509531,26.70948,58.363819
248509532,26.709234,58.363708
248509533,26.709148,58.363632
248509534,26.709137,58.363571
248509535,26.709202,58.363522
248509536,26.709406,58.36359
248509537,26.709599,58.363663
248509538,26.709684,58.363689
248509539,26.7099436,58.3635191
248509540,26.7105165,58.3637941
248509541,26.710016,58.36356
248509544,26.708838,58.363201
248509583,26.708258,58.360977
248509588,26.708237,58.361286
248509590,26.709137,58.36137
248509592,26.707441,58.362598
248509593,26.706829,58.362377
248509594,26.706648,58.362289
248509595,26.7066553,58.3622397
248509602,26.703108,58.360703
248509603,26.7040386,58.361019
248509677,26.7095538,58.3627501
248509682,26.7003518,58.3616806
248509686,26.6987418,58.3625374
248516305,26.7048713,58.361772
248516337,26.6955433,58.3577078
248516338,26.6958709,58.3576813
248516341,26.695309,58.356658
248516342,26.69697,58.356552
248516343,26.6937639,58.357689
248516344,26.6935747,58.3576968
248516345,26.693386,58.356995
248516346,26.6935643,58.3569442
248516347,26.6943359,58.3580801
248516348,26.6942632,58.3577836
248516349,26.6950855,58.3580388
248516350,26.6958284,58.3579806
248516351,26.694504,58.357132
248516352,26.694439,58.356701
248516354,26.694244,58.356174
248516357,26.692175,58.357635
248516358,26.692133,58.357697
248516360,26.691767,58.359676
248516362,26.69092,58.360394
248516363,26.6916645,58.3604102
248516364,26.691166,58.359665
248516365,26.691982,58.358002
248516366,26.693569,58.35804
248516367,26.693611,58.357849
248516368,26.6937177,58.3578138
248516371,26.6941117,58.3600283
248516374,26.693163,58.360104
248516375,26.6976784,58.3598921
248516378,26.695757,58.3598906
248516381,26.695147,58.358383
248516382,26.696058,58.358624
248516383,26.6973951,58.3585573
248516384,26.6961,58.358253
248516385,26.689943,58.35804
248516386,26.6899656,58.3578574
248516387,26.690189,58.357861
248516388,26.690544,58.357861
248516389,26.690683,58.357861
248516390,26.690598,58.358398
248516391,26.690254,58.358292
248516392,26.690329,58.357864
248516393,26.692012,58.3577166
248516397,26.6923104,58.356712
248516398,26.6913564,58.3568483
248516421,26.694309,58.356476
248516422,26.6947465,58.3557898
248516423,26.694868,58.356369
248516428,26.7013317,58.3653658
248516440,26.6952429,58.3599395
248516443,26.6937874,58.3577988
248516447,26.6953303,58.3590202
248516449,26.6919884,58.3579472
248516450,26.6950904,58.3566606
248516451,26.6950168,58.3577456
248516452,26.6957375,58.3576929
248516453,26.69335,58.3565307
248516457,26.6916118,58.3579223
248516458,26.6973235,58.3581879
255364799,26.757087,58.3959132
255364801,26.7555496,58.3978633
266921071,26.6909302,58.3850634
291331007,26.7236488,58.3746249
291351703,26.7369545,58.3688155
291352447,26.7416165,58.3694154
291379924,26.7192255,58.3948692
291380675,26.7269803,58.387509
291381188,26.7272065,58.3878486
291381889,26.7538381,58.3809819
291381902,26.7891653,58.374494
291381904,26.7992872,58.3725536
291381906,26.8164913,58.3728956
291381913,26.868669,58.3725012
291381915,26.8777837,58.370267
291381940,26.8021692,58.3722421
291381941,26.8268566,58.3732695
291381942,26.8416045,58.3731603
291381943,26.8601439,58.3730703
291381944,26.8750355,58.3711221
291381945,26.8818231,58.368653
291538259,26.7485819,58.3742001
291620207,26.7067151,58.374282
291620209,26.7077569,58.3736276
291620217,26.7076853,58.3736919
291620244,26.7066094,58.3743255
292254817,26.7107544,58.3762143
292255185,26.7108067,58.3762556
292255187,26.7109306,58.3762724
292255189,26.7110418,58.3762318
292255190,26.7110623,58.3761846
292255191,26.7110471,58.3761546
292255192,26.7110204,58.3761341
292255193,26.7109287,58.3761085
292255195,26.7108282,58.376118
292255243,26.7109987,58.3762573
292255244,26.7107847,58.3761366
292256382,26.7182198,58.3722799
292257022,26.7214201,58.3653287
292257023,26.7202591,58.3652998
292257024,26.7200731,58.3652955
292257025,26.7201422,58.3641722
292257026,26.7201534,58.3639955
292257241,26.7200896,58.3650004
292257242,26.7208844,58.3650222
292257243,26.7208782,58.3653152
297301757,26.7083277,58.3764879
297302720,26.7061989,58.3761041
297303519,26.7085771,58.3793395
297303521,26.708944,58.379183
297303592,26.7088133,58.3792411
297303594,26.7090506,58.3790616
297303891,26.7072965,58.3749667
297303893,26.7073453,58.3748241
297303895,26.7074003,58.3745526
297303939,26.7067341,58.3753273
297303944,26.707168,58.3750603
297304091,26.7073429,58.3749182
297304655,26.749493,58.3744259
297304658,26.7496748,58.3745897
297304659,26.7496919,58.3746528
297304661,26.7496336,58.3747886
297304671,26.7487221,58.3749175
297304673,26.7485875,58.3748156
297304674,26.7485536,58.3747344
297304675,26.7485552,58.3746808
297304680,26.7486133,58.374542
297304681,26.7486931,58.3744825
297304689,26.7494135,58.3744021
297304720,26.7495974,58.3744889
297304726,26.7495969,58.3748387
297304728,26.749405,58.3749423
297304735,26.7488749,58.3749819
297304741,26.7487923,58.3744357
297304774,26.7496727,58.3747346
297304775,26.7495451,58.3748863
297304779,26.7486373,58.3748689
297304782,26.7488981,58.3744058
297304783,26.749037,58.3743811
297304857,26.7485694,58.3746147
297305175,26.7253255,58.3864042
297305378,26.724107,58.3874859
297305382,26.7242135,58.3869545
297447183,26.6778127,58.3672819
297447184,26.6783471,58.3673161
297447185,26.6784126,58.3670102
297449257,26.6960549,58.3751123
303554429,26.7410035,58.3497364
303554430,26.7403613,58.349727
303554431,26.7403955,58.3490504
303554433,26.7410152,58.3490476
306346487,26.6713825,58.3651078
306346489,26.6720527,58.364862
306346490,26.6723117,58.364775
306346492,26.6730885,58.3645605
317744727,26.7304953,58.3804236
317744728,26.7291081,58.3815859
321216880,26.7518005,58.4049831
321216884,26.7667091,58.4003554
321216885,26.7934,58.4011815
321216887,26.7935225,58.404531
321216888,26.7630769,58.4048168
321341582,26.7117737,58.3486198
321342482,26.7177534,58.3637234
322684975,26.6994931,58.3452496
322684987,26.6996112,58.3446639
322684995,26.6992399,58.3447054
322684996,26.6981364,58.3450394
322684997,26.6970903,58.3455448
322684998,26.6953635,58.3466478
322685000,26.6952083,58.3468208
322685001,26.6951711,58.3469425
322685002,26.6951826,58.3470626
322685003,26.6952184,58.347151
322685004,26.6955705,58.3474647
322685005,26.6957078,58.3475749
322685006,26.7029099,58.3512381
322685007,26.7058163,58.352688
322685016,26.6869878,58.3536183
322685019,26.6873851,58.3535718
322685022,26.6875182,58.3536136
322685034,26.6873139,58.3538388
322768491,26.6848285,58.3533758
322768492,26.686897,58.3525994
322768493,26.6869344,58.3526241
322768494,26.687343,58.3528834
322773690,26.7008063,58.3651352
322773692,26.6849184,58.3588721
322817329,26.701052,58.3659416
322817331,26.6996001,58.364612
322817334,26.6987964,58.3652293
322817335,26.6986167,58.3652173
322817336,26.6984789,58.3651574
322817337,26.6985448,58.3650915
322817338,26.6986526,58.3650855
322867912,26.6890128,58.3536755
322867913,26.6878354,58.3535141
322867914,26.6871919,58.3534152
322867915,26.6870705,58.3534091
322867917,26.6869078,58.3534587
322867918,26.6867186,58.3535257
322867919,26.6864917,58.3535609
322867921,26.686081,58.353549
322867922,26.6848943,58.3534838
322867926,26.6879454,58.3535259
322867927,26.6881242,58.3533467
322867928,26.6882238,58.3533328
322867930,26.6872397,58.3532778
322867931,26.6814577,58.3574709
322867932,26.6813346,58.3572785
322867935,26.6814035,58.3570697
322867936,26.682281,58.3567856
322867939,26.6830005,58.3570529
322867940,26.6829869,58.3574466
322867941,26.6826866,58.3576246
322867942,26.6822567,58.3576998
322867944,26.683076,58.3573183
322867947,26.6975804,58.3465189
322867948,26.699522,58.345874
322867949,26.699925,58.3457369
322867950,26.7011087,58.3452161
322867951,26.7018588,58.3448642
322867953,26.7002504,58.3454312
322867954,26.7001385,58.3453427
322867955,26.7000559,58.3453167
322867956,26.6995772,58.3453476
322867959,26.7006848,58.3444402
322867960,26.7022227,58.3445813
322867961,26.6991269,58.3440706
322867962,26.6993063,58.3437256
322867963,26.7000852,58.3431863
322867964,26.7004785,58.3427792
322867966,26.7008583,58.3422717
322867967,26.7011085,58.3418313
322869344,26.7084154,58.3538937
322869346,26.7098232,58.3542448
322869347,26.7101274,58.3543793
322869348,26.7103731,58.3546481
322869349,26.7104114,58.3548251
322906388,26.6890986,58.3520367
322906391,26.6884373,58.3604857
322906392,26.6897395,58.3597238
322906401,26.7284844,58.3820694
322906435,26.6989632,58.3492799
322906436,26.6986104,58.3494813
322920327,26.7044386,58.348564
322920337,26.6981626,58.3485377
322920341,26.6979211,58.3487577
322920345,26.6975368,58.3485617
322920351,26.7034902,58.3494112
322920354,26.7014477,58.3505285
322920363,26.7034069,58.3514936
322920384,26.7088669,58.3529786
322920427,26.7039384,58.3464513
322920567,26.7112015,58.3494614
322920600,26.7078592,58.353627
322920604,26.7074471,58.3539119
322920606,26.7067411,58.3539344
322920611,26.7074521,58.3542922
322920617,26.7071568,58.3546465
322920623,26.7075094,58.353867
322920671,26.7069578,58.3503836
322920676,26.7062565,58.350812
322920689,26.7073462,58.3505893
322920698,26.7066315,58.3509951
322920703,26.7070519,58.351192
322920708,26.7076962,58.3508115
322920711,26.7079596,58.3509462
322920715,26.7066799,58.3501319
322920718,26.705744,58.3494415
322920737,26.703616,58.3491912
322920740,26.7035679,58.3485615
322920749,26.7044908,58.3471825
322920803,26.7024022,58.3454837
322920813,26.7024684,58.3451842
322920815,26.7028198,58.3448313
322943539,26.6914217,58.3503786
322943540,26.692382,58.3503396
322943541,26.6925461,58.350485
322943549,26.6924888,58.3515207
322943550,26.6923353,58.3518213
322943551,26.6923851,58.352153
322943552,26.6984505,58.351724
322943553,26.6983665,58.3521396
322943555,26.6985027,58.3525946
322943561,26.69795,58.3534296
322943567,26.6945505,58.3500305
322943568,26.6944754,58.3499155
322943569,26.6956745,58.3490516
322943570,26.6962379,58.3487663
322943571,26.6967954,58.3495353
322943573,26.6957887,58.3501255
322943578,26.7027221,58.3525974
322943579,26.7027251,58.3528045
322943580,26.702146,58.3531383
322943581,26.7012626,58.3532687
322943582,26.7009941,58.3532641
322943583,26.697982,58.3531141
322943584,26.6989922,58.3530869
322943586,26.698019,58.3528029
322943587,26.6992515,58.3528078
322943589,26.6995281,58.3529388
322943590,26.6996086,58.3529545
322943591,26.7059087,58.3535197
322943592,26.7050019,58.3537107
322943594,26.7385439,58.3801214
322943599,26.6966068,58.3541476
322943605,26.6895016,58.3528292
322943619,26.6940377,58.3503908
323187907,26.7427466,58.4069155
323187909,26.7616804,58.3969531
323187910,26.7635446,58.3972182
323233967,26.7390117,58.408189
323233969,26.7358951,58.4051142
323233972,26.7348255,58.4043947
323233974,26.7338335,58.4037378
323233980,26.731364,58.401743
323250286,26.7209328,58.4068657
323250288,26.7278188,58.4063724
323250289,26.7321139,58.4060755
323250290,26.7380874,58.4043288
323250291,26.7389815,58.4040546
323376780,26.7011629,58.3415764
323376840,26.7011424,58.3414323
323376845,26.7010294,58.3411526
323376851,26.7008659,58.3407422
323376857,26.7008659,58.3405932
323376860,26.7009311,58.3403744
323376864,26.7016444,58.3391017
323376867,26.7032976,58.3359628
323376870,26.7038881,58.3351858
323376874,26.7046461,58.3343912
323376890,26.6998581,58.3409998
323376893,26.6983205,58.3409135
323376897,26.6962979,58.3408151
323376902,26.6927397,58.3406945
323376909,26.6964799,58.3396587
323376915,26.6965775,58.338761
323376925,26.6965625,58.3386125
